test_id,applicability,topic,decision_rule_ref
BC-025,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
BC-026,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
BC-027,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-028,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
BC-029,APPLICABLE_AUTOMATABLE,formal-methods,topic:formal-methods->probe:FORMAL
BC-030,APPLICABLE_AUTOMATABLE,static-analysis,topic:static-analysis->probe:STATIC_ANALYSIS
BC-031,APPLICABLE_AUTOMATABLE,audit-integrity,topic:audit-integrity->probe:AUDIT
BC-032,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-033,APPLICABLE_AUTOMATABLE,architecture-review,topic:architecture-review->probe:ARCH_DOCS
BC-034,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-035,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-036,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-037,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-038,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
BC-039,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-040,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-041,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-042,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-043,APPLICABLE_AUTOMATABLE,architecture-review,topic:architecture-review->probe:ARCH_DOCS
BC-044,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-045,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-046,APPLICABLE_AUTOMATABLE,code-analysis,topic:code-analysis->probe:STATIC_ANALYSIS
BC-047,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-048,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-049,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-050,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-051,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-052,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-053,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-054,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-055,APPLICABLE_AUTOMATABLE,time,topic:time->probe:TIME
BC-056,APPLICABLE_AUTOMATABLE,service,topic:service->probe:SERVICE
BC-057,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-058,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
BC-059,APPLICABLE_AUTOMATABLE,persistence,topic:persistence->probe:PERSISTENCE
BC-060,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-061,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-062,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
BC-063,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
BC-064,APPLICABLE_AUTOMATABLE,incident,topic:incident->probe:INCIDENT
BC-065,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
BC-066,APPLICABLE_AUTOMATABLE,auth,topic:auth->probe:AUTH
BC-067,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-068,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-069,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-070,APPLICABLE_AUTOMATABLE,keys,topic:keys->probe:KEYS
BC-071,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-072,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-073,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-074,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-075,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-076,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
BC-077,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-078,APPLICABLE_AUTOMATABLE,persistence,topic:persistence->probe:PERSISTENCE
BC-079,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-080,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-081,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-082,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-083,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-084,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-085,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-086,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-087,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-088,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-089,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-090,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-091,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-092,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-093,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-094,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-095,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-096,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-097,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-098,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-099,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-100,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-101,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-102,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-103,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-104,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-105,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-106,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-107,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-108,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-109,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-110,APPLICABLE_AUTOMATABLE,keys,topic:keys->probe:KEYS
BC-111,SKIPPED_NOT_APPLICABLE,hsm,topic:hsm->probe:HSM(absent)
BC-112,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-113,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-114,APPLICABLE_AUTOMATABLE,crypto,topic:crypto->probe:CRYPTO
BC-115,APPLICABLE_AUTOMATABLE,persistence,topic:persistence->probe:PERSISTENCE
BC-116,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-117,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-118,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-119,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-120,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-121,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
BC-122,APPLICABLE_AUTOMATABLE,supply-chain,topic:supply-chain->probe:SUPPLY_CHAIN
BC-123,APPLICABLE_AUTOMATABLE,dynamic-analysis,topic:dynamic-analysis->probe:DYNAMIC_TESTING
BC-124,APPLICABLE_AUTOMATABLE,vendor,topic:vendor->probe:VENDOR
BC-125,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
BC-126,APPLICABLE_AUTOMATABLE,buildable,topic:buildable->probe:BUILDABLE
BC-127,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-128,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-129,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-130,APPLICABLE_AUTOMATABLE,buildable,topic:buildable->probe:BUILDABLE
BC-131,APPLICABLE_AUTOMATABLE,deployable,topic:deployable->probe:DEPLOYABLE
BC-132,APPLICABLE_AUTOMATABLE,secrets,topic:secrets->probe:SECRETS
BC-133,APPLICABLE_AUTOMATABLE,secrets,topic:secrets->probe:SECRETS
BC-134,APPLICABLE_AUTOMATABLE,keys,topic:keys->probe:KEYS
BC-135,APPLICABLE_AUTOMATABLE,secret-scan,topic:secret-scan->probe:SECRET_SCAN
BC-136,APPLICABLE_AUTOMATABLE,secrets,topic:secrets->probe:SECRETS
BC-137,APPLICABLE_AUTOMATABLE,deployable,topic:deployable->probe:DEPLOYABLE
BC-138,APPLICABLE_AUTOMATABLE,configurable,topic:configurable->probe:CONFIGURABLE
BC-139,SKIPPED_NOT_APPLICABLE,infrastructure-as-code,topic:infrastructure-as-code->probe:IAC(absent)
BC-140,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
BC-141,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
BC-142,SKIPPED_NOT_APPLICABLE,container,topic:container->probe:CONTAINER(absent)
BC-143,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-144,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-145,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-146,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-147,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-148,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-149,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-150,APPLICABLE_AUTOMATABLE,privacy,topic:privacy->probe:PRIVACY
BC-151,APPLICABLE_AUTOMATABLE,data-protection,topic:data-protection->probe:PRIVACY
BC-152,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-153,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-154,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-155,APPLICABLE_AUTOMATABLE,stateful,topic:stateful->probe:PERSISTENCE
BC-156,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-157,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-158,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-159,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-160,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-161,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-162,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
BC-163,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-164,APPLICABLE_AUTOMATABLE,egress,topic:egress->probe:EGRESS
BC-165,APPLICABLE_AUTOMATABLE,performance,topic:performance->probe:LONG_RUNNING
BC-166,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-167,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-168,APPLICABLE_AUTOMATABLE,performance,topic:performance->probe:LONG_RUNNING
BC-169,APPLICABLE_AUTOMATABLE,persistence,topic:persistence->probe:PERSISTENCE
BC-170,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-171,APPLICABLE_AUTOMATABLE,input-validation,topic:input-validation->probe:API
BC-172,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-173,APPLICABLE_AUTOMATABLE,input-validation,topic:input-validation->probe:API
BC-174,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-175,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-176,APPLICABLE_AUTOMATABLE,audit-integrity,topic:audit-integrity->probe:AUDIT
BC-177,APPLICABLE_AUTOMATABLE,observability,topic:observability->probe:OBSERVABILITY
BC-178,APPLICABLE_AUTOMATABLE,audit-integrity,topic:audit-integrity->probe:AUDIT
BC-179,APPLICABLE_AUTOMATABLE,audit-integrity,topic:audit-integrity->probe:AUDIT
BC-180,APPLICABLE_AUTOMATABLE,incident,topic:incident->probe:INCIDENT
BC-181,APPLICABLE_AUTOMATABLE,incident,topic:incident->probe:INCIDENT
BC-182,APPLICABLE_AUTOMATABLE,availability,topic:availability->probe:RECOVERY
BC-183,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-184,APPLICABLE_AUTOMATABLE,chaos,topic:chaos->probe:SERVICE
BC-185,APPLICABLE_AUTOMATABLE,versioned-stateful,topic:versioned-stateful->probe:STATEFUL_VERSIONED
BC-186,APPLICABLE_AUTOMATABLE,availability,topic:availability->probe:RECOVERY
BC-187,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-188,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-189,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-190,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-191,APPLICABLE_AUTOMATABLE,gui,topic:gui->probe:A11Y
BC-192,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-193,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-194,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-195,SKIPPED_NOT_APPLICABLE,blockchain-specific,topic:blockchain-specific->probe:BLOCKCHAIN(absent)
BC-196,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
BC-197,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-198,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-199,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-200,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-201,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
BC-202,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,,bc:no-topic-match
E2E-001,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
E2E-002,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
E2E-003,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
E2E-004,APPLICABLE_AUTOMATABLE,api,topic:api->probe:API
E2E-005,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
E2E-006,APPLICABLE_AUTOMATABLE,,predicate:broadly-applicable
E2E-007,APPLICABLE_AUTOMATABLE,interface,topic:interface->probe:API
E2E-008,APPLICABLE_AUTOMATABLE,runtime,topic:runtime->probe:SERVICE
E2E-009,APPLICABLE_AUTOMATABLE,runtime,topic:runtime->probe:SERVICE
E2E-010,APPLICABLE_AUTOMATABLE,stateful,topic:stateful->probe:PERSISTENCE
E2E-011,APPLICABLE_AUTOMATABLE,distributable,topic:distributable->probe:ARTIFACT
E2E-012,APPLICABLE_AUTOMATABLE,persistence,topic:persistence->probe:PERSISTENCE
E2E-013,APPLICABLE_AUTOMATABLE,versioned-distributed,topic:versioned-distributed->probe:STATEFUL_VERSIONED
E2E-014,APPLICABLE_AUTOMATABLE,versioned-stateful,topic:versioned-stateful->probe:STATEFUL_VERSIONED
E2E-015,APPLICABLE_AUTOMATABLE,data-portability,topic:data-portability->probe:DATA_PORTABILITY
E2E-016,APPLICABLE_AUTOMATABLE,time,topic:time->probe:TIME
E2E-017,APPLICABLE_AUTOMATABLE,text-globalization,topic:text-globalization->probe:GLOBALIZATION
E2E-018,APPLICABLE_AUTOMATABLE,long-running,topic:long-running->probe:LONG_RUNNING
E2E-019,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,ai,topic:ai->probe:MODEL(absent)
E2E-020,APPLICABLE_MANUAL,human,topic:human->probe:HUMAN
GEN-001,APPLICABLE_AUTOMATABLE,static-analysis,predicate:evaluate->topic:static-analysis
GEN-002,APPLICABLE_AUTOMATABLE,supply-chain,predicate:evaluate->topic:supply-chain
GEN-003,APPLICABLE_AUTOMATABLE,supply-chain,predicate:evaluate->topic:supply-chain
GEN-004,APPLICABLE_AUTOMATABLE,supply-chain,predicate:evaluate->topic:supply-chain
GEN-005,APPLICABLE_AUTOMATABLE,secrets,predicate:evaluate->topic:secrets
GEN-006,APPLICABLE_AUTOMATABLE,secrets,predicate:evaluate->topic:secrets
GEN-007,APPLICABLE_AUTOMATABLE,secret-scan,predicate:evaluate->topic:secret-scan
GEN-008,APPLICABLE_AUTOMATABLE,code-analysis,predicate:evaluate->topic:code-analysis
GEN-009,APPLICABLE_AUTOMATABLE,code-analysis,predicate:evaluate->topic:code-analysis
GEN-010,APPLICABLE_AUTOMATABLE,static-analysis,predicate:evaluate->topic:static-analysis
GEN-011,APPLICABLE_AUTOMATABLE,static-analysis,predicate:evaluate->topic:static-analysis
GEN-012,APPLICABLE_AUTOMATABLE,audit-integrity,predicate:evaluate->topic:audit-integrity
GEN-013,APPLICABLE_AUTOMATABLE,observability,predicate:evaluate->topic:observability
GEN-014,APPLICABLE_AUTOMATABLE,static-analysis,predicate:evaluate->topic:static-analysis
GEN-015,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-016,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-017,APPLICABLE_AUTOMATABLE,runtime,predicate:evaluate->topic:runtime
GEN-018,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-019,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-020,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-021,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-022,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-023,APPLICABLE_AUTOMATABLE,incident,predicate:evaluate->topic:incident
GEN-024,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-025,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-026,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-027,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-028,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-029,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-030,APPLICABLE_AUTOMATABLE,api,predicate:evaluate->topic:api
GEN-031,APPLICABLE_AUTOMATABLE,api,predicate:evaluate->topic:api
GEN-032,APPLICABLE_AUTOMATABLE,graphql-grpc,predicate:evaluate->topic:graphql-grpc
GEN-033,APPLICABLE_AUTOMATABLE,api,predicate:evaluate->topic:api
GEN-034,APPLICABLE_AUTOMATABLE,mobile,predicate:evaluate->topic:mobile
GEN-035,APPLICABLE_AUTOMATABLE,mobile,predicate:evaluate->topic:mobile
GEN-036,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-037,APPLICABLE_AUTOMATABLE,service,predicate:evaluate->topic:service
GEN-038,APPLICABLE_AUTOMATABLE,serverless,predicate:evaluate->topic:serverless
GEN-039,APPLICABLE_AUTOMATABLE,container,predicate:evaluate->topic:container
GEN-040,APPLICABLE_AUTOMATABLE,container,predicate:evaluate->topic:container
GEN-041,APPLICABLE_AUTOMATABLE,mobile,predicate:evaluate->topic:mobile
GEN-042,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-043,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-044,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-045,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-046,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-047,APPLICABLE_AUTOMATABLE,output-encoding,predicate:evaluate->topic:output-encoding
GEN-048,APPLICABLE_AUTOMATABLE,api,predicate:evaluate->topic:api
GEN-049,APPLICABLE_AUTOMATABLE,input-validation,predicate:evaluate->topic:input-validation
GEN-050,APPLICABLE_AUTOMATABLE,auth,predicate:evaluate->topic:auth
GEN-051,APPLICABLE_AUTOMATABLE,auth,predicate:evaluate->topic:auth
GEN-052,APPLICABLE_AUTOMATABLE,auth,predicate:evaluate->topic:auth
GEN-053,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-054,APPLICABLE_AUTOMATABLE,incident,predicate:evaluate->topic:incident
GEN-055,APPLICABLE_AUTOMATABLE,stateful,predicate:evaluate->topic:stateful
GEN-056,APPLICABLE_AUTOMATABLE,observability,predicate:evaluate->topic:observability
GEN-057,APPLICABLE_AUTOMATABLE,crypto,predicate:evaluate->topic:crypto
GEN-058,APPLICABLE_AUTOMATABLE,crypto,predicate:evaluate->topic:crypto
GEN-059,APPLICABLE_AUTOMATABLE,configurable,predicate:evaluate->topic:configurable
GEN-060,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-061,APPLICABLE_AUTOMATABLE,configurable,predicate:evaluate->topic:configurable
GEN-062,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-063,APPLICABLE_AUTOMATABLE,observability,predicate:evaluate->topic:observability
GEN-064,APPLICABLE_AUTOMATABLE,deployable,predicate:evaluate->topic:deployable
GEN-065,APPLICABLE_AUTOMATABLE,configurable,predicate:evaluate->topic:configurable
GEN-066,APPLICABLE_AUTOMATABLE,dynamic-analysis,predicate:evaluate->topic:dynamic-analysis
GEN-067,APPLICABLE_AUTOMATABLE,container,predicate:evaluate->topic:container
GEN-068,APPLICABLE_AUTOMATABLE,,predicate:evaluate->security-and-architecture-surface
GEN-069,APPLICABLE_AUTOMATABLE,service,predicate:evaluate->topic:service
